Как называется первая книга в серии романов о Гарри Поттере?;What is the title of the first book about Harry Potter?;Гарри Поттер и Философский Камень;Harry Potter and the Philosopher's Stone;Гарри Поттер и Волешбный Контрабас;Harry Potter and the Magical Flute;Гарри Поттер и Тайная Комната;Harry Potter and the Chamber of Secrets;Гарри Поттер и Философский вопрос;Harry Potter and the Philosopher's Question;1
Как называется вторая книга в серии романов о Гарри Поттере?;What is the title of the second book about Harry Potter?;Гарри Поттер и Тайная Комната;Harry Potter and the Chamber of Secrets;Гарри Поттер и Философский Камень;Harry Potter and the Philosopher's Stone;Гарри Поттер и Узник Азкабана;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и Тайные Желания;Harry Potter and the Secret Desires;1
Как называется третья книга в серии романов о Гарри Поттере?;What is the title of the third book about Harry Potter?;Гарри Поттер и Узник Азкабана;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и Тайная Комната;Harry Potter and the Chamber of Secrets;Гарри Поттер и Кубок Огня;Harry Potter and the Goblet of Fire;Гарри Поттер и Узник Инстаграма;Harry Potter and the Prisoner of Instagram;1
Как называется четвертая книга в серии романов о Гарри Поттере?;What is the title of the fourth book about Harry Potter?;Гарри Поттер и Кубок Огня;Harry Potter and the Goblet of Fire;Гарри Поттер и Узник Азкабана;Harry Potter and the Prisoner of Azkaban;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;Гарри Поттер и Кубок Первого Канала;Harry Potter and the Goblet of Water;1
Как называется пятая книга в серии романов о Гарри Поттере?;What is the title of the fifth book about Harry Potter?;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;Гарри Поттер и Кубок Огня;Harry Potter and the Goblet of Fire;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;Гарри Поттер и Ордер Феликса;Harry Potter and the Dark Side;1
Как называется шестая книга в серии романов о Гарри Поттере?;What is the title of the sixth book about Harry Potter?;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;Гарри Поттер и Дары Смерти;Harry Potter and the Deathly Hallows;Гарри Поттер и Принц Гарри;Harry Potter and the Felix Felixis;1
Как называется седьмая книга в серии романов о Гарри Поттере?;What is the title of the seventh book about Harry Potter?;Гарри Поттер и Дары Смерти;Harry Potter and the Deathly Hallows;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;Гарри Поттер и Последний Крестраж;Harry Potter and the Last Horcrux;Гарри Поттер и Последняя битва;Harry Potter and the Last Battle;1
Кто автор книг о Гарри Поттере?;"Who is the author of ""Harry Potter""?";Джоан Роулинг;Joanne Rowling;Арабелла Фигг;Arabella Figg;Дайанн Роулинг;Dianne Rowling;Ролинг Стоунз;Rolling Stones;1
Кто главный злодей в книгах о Гарри Поттере?;"Who is the main villain in ""Harry Potter""?";Волан-де-Морт;Voldemort;Северус Снегг;Severus Snape;Люциус Малфой;Lucius Malfoy;Альбус Дамблдор;Albus Dambledore;1
Кто такой Гарри Поттер?;Who is Harry Potter?;волшебник;a wizard;рок-звезда;a rock-star;вампир;a vampire;эльф;an elf;1
Кем были родители Гарри Поттера?;"
Who were Harry Potter's parents?";оба волшебники;both were wizards;мама волшебница, папа - маггл;mother - witch, father - muggle;мама - маггл, папа - волшебник;mother - muggle, father - wizard;оба магглы;both were muggles;2
Какое животное является символом Гриффиндора?;What is the symbol of Gryffindor house?;лев;a lion;змея;a snake;барсук;a badger;орел;an eagle;2
Какое животное является символом Когтеврана?;What is the symbol of Ravenclaw house?;орел;an eagle;лев;a lion;змея;a snake;барсук;a badger;2
Какое животное является символом Пуффендуя?;What is the symbol of Hufflepuff house?;барсук;a badger;орел;an eagle;лев;a lion;змея;a snake;2
Какое животное является символом Слизерина?;What is the symbol of Slytherin house?;змея;a snake;барсук;a badger;орел;an eagle;лев;a lion;2
Какой главный цвет Гриффиндора?;What is the main color of Gryffindor house?;красный;red;зеленый;green;желтый;yellow;синий;blue;2
Какой главный цвет Когтеврана?;What is the main color of Ravenclaw house?;синий;blue;красный;red;зеленый;green;желтый;yellow;2
Какой главный цвет Пуффендуя?;What is the main color of Hufflepuff house?;желтый;yellow;синий;blue;красный;red;зеленый;green;2
Какой главный цвет Слизерина?;What is the main color of Slytherin house?;зеленый;green;желтый;yellow;синий;blue;красный;red;2
 В какой школе учился Гарри Поттер?;"
What is the name of the school where Harry Potter studied?";Хогвартс;Hogwarts;Дурмстранг;Durmstrang ;Шармбатон;Beauxbatons ;Ильверморни;Ilvermorny;2
Как называется главная волшебная спортивная игра?;What is the main magical sport game?;Квиддич;Quidditch;Квоффл;Quaffle;Плюй камни;Gobstones;Волшебные шахматы;Wizard's Chess;2
Сколько игроков в команде по квиддичу?;How many players there are in the quidditch team?;7;7;6;6;11;11;4;4;2
Сколько мячей используется при игре в квиддич?;How many balls are used in a quidditch game?;4;4;1;1;2;2;3;3;2
Как называется мяч для квиддича, который нужно забрасывать в кольцо?;What is the ball which is thrown through the rings in a quidditch game?;Квоффл;Quaffle;Золотой Снитч;Golden Snitch;Бладжер;Bludger;Чейзер;Chaser;2
Как называется мяч для квиддича, который должен поймать ловец?;What ball should be caught by Seeker in a quidditch game?;Золотой Снитч;Golden Snitch;Квоффл;Quaffle;Бладжер;Bludger;Доносчик;Golden Informant;2
